Gene,BA11.R2,BA11.Peak,BA11.Pval,BA11.qval,BA47.R2,BA47.Peak,BA47.Pval,BA47.qval,Diff.Peak,Avg.R2,Combined.Pval,Combined.qval,BA11.weight,BA47.weight,Both.weight,Age.genes,Sex.genes
GLG1,0.00,3.65,7.01E-01,9.06E-01,0.01,-2.91,4.89E-01,9.41E-01,6.55,0.01,4.97E-01,6.41E-01,0,1,1,0,0
FGF11,0.00,-6.01,8.03E-01,9.41E-01,0.01,15.51,4.26E-01,9.26E-01,2.49,0.01,4.30E-01,5.98E-01,0,1,1,0,0
SLC9A5,0.01,11.70,3.53E-01,7.45E-01,0.00,15.73,9.71E-01,9.98E-01,4.04,0.01,3.54E-01,5.49E-01,1,0,1,0,0
ESR1,0.01,16.62,4.88E-01,8.18E-01,0.00,12.20,7.02E-01,9.75E-01,4.42,0.01,4.95E-01,6.40E-01,1,0,1,0,0
RRAS,0.01,11.24,6.90E-01,9.02E-01,0.01,12.52,4.97E-01,9.42E-01,1.28,0.01,5.06E-01,6.47E-01,0,1,1,0,0
PCCA,0.01,0.39,4.71E-01,8.09E-01,0.00,-0.95,7.28E-01,9.78E-01,1.34,0.01,4.77E-01,6.28E-01,1,0,1,0,0
EPHX1,0.01,-2.89,6.16E-01,8.73E-01,0.01,16.53,5.57E-01,9.55E-01,4.58,0.01,5.70E-01,6.89E-01,0,1,1,1,0
ABCA4,0.01,15.05,5.30E-01,8.38E-01,0.01,2.28,6.47E-01,9.70E-01,11.22,0.01,5.41E-01,6.70E-01,1,0,1,0,0
PODXL2,0.00,7.15,7.01E-01,9.06E-01,0.01,8.78,4.89E-01,9.41E-01,1.63,0.01,4.97E-01,6.41E-01,0,1,1,0,0
CDH4,0.01,-4.24,6.94E-01,9.04E-01,0.01,12.04,4.94E-01,9.41E-01,7.72,0.01,5.03E-01,6.45E-01,0,1,1,1,0
NEIL2,0.01,-5.55,6.21E-01,8.76E-01,0.01,14.12,5.52E-01,9.54E-01,4.33,0.01,5.66E-01,6.85E-01,0,1,1,1,0
ARNTL2,0.01,10.60,6.50E-01,8.86E-01,0.01,17.00,5.28E-01,9.48E-01,6.40,0.01,5.39E-01,6.69E-01,0,1,1,1,0
TTC19,0.01,3.21,5.42E-01,8.43E-01,0.01,1.08,6.33E-01,9.69E-01,2.13,0.01,5.54E-01,6.78E-01,1,0,1,0,0
KIF27,0.00,8.57,8.22E-01,9.47E-01,0.01,0.94,4.17E-01,9.24E-01,7.62,0.01,4.21E-01,5.92E-01,0,1,1,1,0
LPAR4,0.01,12.87,4.19E-01,7.84E-01,0.00,14.47,8.18E-01,9.87E-01,1.60,0.01,4.23E-01,5.94E-01,1,0,1,0,0
SNORA2A,0.01,-5.42,3.53E-01,7.45E-01,0.00,9.48,9.73E-01,9.98E-01,9.10,0.01,3.54E-01,5.49E-01,1,0,1,0,0
HRSP12,0.00,-2.43,8.07E-01,9.43E-01,0.01,-4.78,4.25E-01,9.26E-01,2.35,0.01,4.29E-01,5.98E-01,0,1,1,0,0
CNOT4,0.01,4.21,6.37E-01,8.82E-01,0.01,7.90,5.39E-01,9.51E-01,3.69,0.01,5.52E-01,6.76E-01,0,1,1,0,0
OR5F1,0.01,12.80,4.89E-01,8.18E-01,0.00,9.18,7.02E-01,9.75E-01,3.62,0.01,4.97E-01,6.41E-01,1,0,1,0,0
HCRT,0.00,16.20,7.09E-01,9.09E-01,0.01,3.13,4.84E-01,9.40E-01,10.93,0.01,4.92E-01,6.38E-01,0,1,1,0,0
C20orf20,0.01,11.71,4.74E-01,8.11E-01,0.00,11.57,7.25E-01,9.78E-01,0.14,0.01,4.81E-01,6.31E-01,1,0,1,0,0
C17orf57,0.00,-3.13,8.64E-01,9.61E-01,0.01,4.00,3.97E-01,9.16E-01,7.14,0.01,4.00E-01,5.78E-01,0,1,1,1,0
PIP4K2B,0.01,7.18,5.31E-01,8.38E-01,0.01,7.92,6.48E-01,9.70E-01,0.75,0.01,5.42E-01,6.70E-01,1,0,1,1,0
HOXA4,0.01,16.76,5.21E-01,8.34E-01,0.01,10.98,6.60E-01,9.73E-01,5.78,0.01,5.32E-01,6.64E-01,1,0,1,0,0
F2R,0.01,15.27,4.93E-01,8.21E-01,0.01,13.74,6.99E-01,9.74E-01,1.53,0.01,5.01E-01,6.44E-01,1,0,1,0,0
PEX11G,0.00,13.79,7.97E-01,9.39E-01,0.01,8.15,4.31E-01,9.28E-01,5.64,0.01,4.35E-01,6.02E-01,0,1,1,0,0
POLR1E,0.01,1.97,4.38E-01,7.92E-01,0.00,5.88,7.85E-01,9.84E-01,3.91,0.01,4.42E-01,6.06E-01,1,0,1,0,0
HINT1,0.00,4.69,7.78E-01,9.35E-01,0.01,11.49,4.42E-01,9.29E-01,6.80,0.01,4.47E-01,6.08E-01,0,1,1,1,0
ZNF391,0.01,5.40,4.85E-01,8.17E-01,0.00,15.68,7.10E-01,9.76E-01,10.28,0.01,4.93E-01,6.39E-01,1,0,1,0,0
STK10,0.01,-6.03,6.68E-01,8.93E-01,0.01,11.46,5.16E-01,9.46E-01,6.52,0.01,5.26E-01,6.60E-01,0,1,1,0,0
STAG3L4,0.01,3.82,5.06E-01,8.27E-01,0.01,9.29,6.81E-01,9.74E-01,5.47,0.01,5.15E-01,6.53E-01,1,0,1,0,0
SFT2D3,0.00,1.40,7.87E-01,9.36E-01,0.01,-3.28,4.38E-01,9.29E-01,4.68,0.01,4.42E-01,6.05E-01,0,1,1,0,0
PRDX6,0.00,-2.62,8.16E-01,9.46E-01,0.01,17.30,4.22E-01,9.24E-01,4.08,0.01,4.25E-01,5.95E-01,0,1,1,0,0
NGB,0.00,10.14,7.10E-01,9.09E-01,0.01,7.18,4.85E-01,9.40E-01,2.96,0.01,4.93E-01,6.38E-01,0,1,1,0,0
GTSE1,0.01,14.72,3.75E-01,7.58E-01,0.00,2.59,9.16E-01,9.95E-01,11.87,0.01,3.77E-01,5.63E-01,1,0,1,0,0
ADH1C,0.00,4.69,7.67E-01,9.30E-01,0.01,1.37,4.49E-01,9.31E-01,3.33,0.01,4.55E-01,6.13E-01,0,1,1,0,0
RAB40AL,0.01,11.44,4.06E-01,7.78E-01,0.00,-3.52,8.48E-01,9.90E-01,9.05,0.01,4.09E-01,5.86E-01,1,0,1,0,0
SCOC,0.01,4.22,4.13E-01,7.80E-01,0.00,11.70,8.33E-01,9.88E-01,7.48,0.01,4.16E-01,5.89E-01,1,0,1,0,0
FAM123B,0.00,-5.76,9.57E-01,9.88E-01,0.01,8.68,3.59E-01,9.08E-01,9.56,0.01,3.60E-01,5.53E-01,0,1,1,0,0
POU2F3,0.01,12.93,3.69E-01,7.55E-01,0.00,7.78,9.33E-01,9.97E-01,5.14,0.01,3.70E-01,5.59E-01,1,0,1,0,0
DOK1,0.01,13.88,4.15E-01,7.81E-01,0.00,15.06,8.30E-01,9.87E-01,1.18,0.01,4.18E-01,5.91E-01,1,0,1,0,0
CDK20,0.00,13.83,9.76E-01,9.94E-01,0.01,12.28,3.52E-01,9.06E-01,1.55,0.01,3.53E-01,5.49E-01,0,1,1,1,0
SNRPF,0.01,3.08,3.78E-01,7.59E-01,0.00,-1.63,9.12E-01,9.95E-01,4.70,0.01,3.79E-01,5.65E-01,1,0,1,0,0
CT45A4,0.01,14.70,3.89E-01,7.68E-01,0.00,14.02,8.85E-01,9.95E-01,0.68,0.01,3.91E-01,5.73E-01,1,0,1,0,0
RGS8,0.00,12.68,9.94E-01,9.98E-01,0.01,16.52,3.46E-01,9.04E-01,3.84,0.01,3.47E-01,5.45E-01,0,1,1,1,0
HS3ST1,0.00,17.30,7.74E-01,9.33E-01,0.01,14.90,4.45E-01,9.31E-01,2.40,0.01,4.50E-01,6.10E-01,0,1,1,1,0
PLAC9,0.01,-5.31,4.08E-01,7.78E-01,0.00,-4.77,8.44E-01,9.89E-01,0.53,0.01,4.11E-01,5.87E-01,1,0,1,1,0
EGF,0.00,12.45,7.39E-01,9.21E-01,0.01,12.63,4.66E-01,9.37E-01,0.18,0.01,4.73E-01,6.25E-01,0,1,1,0,0
SRPRB,0.00,1.84,7.19E-01,9.12E-01,0.01,-5.73,4.79E-01,9.39E-01,7.57,0.01,4.87E-01,6.34E-01,0,1,1,0,0
NAA20,0.00,1.45,8.81E-01,9.64E-01,0.01,-3.37,3.92E-01,9.15E-01,4.81,0.01,3.94E-01,5.74E-01,0,1,1,0,0
SLC44A3,0.01,-3.00,4.97E-01,8.23E-01,0.01,-2.67,6.95E-01,9.74E-01,0.33,0.01,5.06E-01,6.47E-01,1,0,1,0,0
VPS33A,0.01,5.04,5.01E-01,8.25E-01,0.01,5.59,6.89E-01,9.74E-01,0.55,0.01,5.10E-01,6.50E-01,1,0,1,0,0
ASB7,0.01,15.85,4.28E-01,7.88E-01,0.00,15.04,8.07E-01,9.86E-01,0.81,0.01,4.32E-01,5.99E-01,1,0,1,0,0
CCDC85C,0.00,16.37,8.44E-01,9.55E-01,0.01,12.51,4.09E-01,9.20E-01,3.86,0.01,4.12E-01,5.87E-01,0,1,1,0,0
FLJ40448,0.01,15.37,4.05E-01,7.78E-01,0.00,3.82,8.53E-01,9.91E-01,11.55,0.01,4.08E-01,5.85E-01,1,0,1,0,0
PROX1,0.00,-0.23,9.24E-01,9.77E-01,0.01,-3.74,3.74E-01,9.10E-01,3.52,0.01,3.75E-01,5.62E-01,0,1,1,0,0
RPL26,0.00,5.79,8.96E-01,9.70E-01,0.01,5.66,3.85E-01,9.14E-01,0.13,0.01,3.87E-01,5.71E-01,0,1,1,0,0
LOC404266,0.00,13.77,8.97E-01,9.70E-01,0.01,3.23,3.85E-01,9.14E-01,10.54,0.01,3.87E-01,5.71E-01,0,1,1,0,0
ABHD12,0.00,10.32,9.41E-01,9.83E-01,0.01,5.69,3.67E-01,9.10E-01,4.63,0.01,3.68E-01,5.58E-01,0,1,1,1,0
CCR7,0.01,13.48,3.49E-01,7.42E-01,0.00,-0.28,9.89E-01,9.99E-01,10.25,0.01,3.50E-01,5.47E-01,1,0,1,0,0
RPS28,0.01,3.54,5.53E-01,8.47E-01,0.01,8.41,6.25E-01,9.67E-01,4.86,0.01,5.66E-01,6.86E-01,1,0,1,0,0
IL18R1,0.01,-4.56,5.26E-01,8.36E-01,0.01,-0.36,6.58E-01,9.72E-01,4.20,0.01,5.36E-01,6.67E-01,1,0,1,0,0
CLDN11,0.00,-6.24,7.01E-01,9.06E-01,0.01,17.37,4.93E-01,9.41E-01,0.39,0.01,5.02E-01,6.44E-01,0,1,1,1,0
TXNDC9,0.01,10.29,4.42E-01,7.95E-01,0.00,-4.10,7.82E-01,9.84E-01,9.61,0.01,4.47E-01,6.08E-01,1,0,1,0,0
COX4I2,0.00,15.10,9.04E-01,9.71E-01,0.01,7.74,3.82E-01,9.14E-01,7.35,0.01,3.84E-01,5.69E-01,0,1,1,0,0
OR5B2,0.01,-2.63,5.77E-01,8.57E-01,0.01,7.58,6.00E-01,9.62E-01,10.21,0.01,5.92E-01,7.03E-01,1,0,1,0,0
DCUN1D5,0.01,-0.28,5.36E-01,8.41E-01,0.01,-2.15,6.46E-01,9.70E-01,1.88,0.01,5.48E-01,6.74E-01,1,0,1,1,0
RASSF1,0.01,13.46,5.02E-01,8.25E-01,0.01,0.78,6.89E-01,9.74E-01,11.32,0.01,5.11E-01,6.51E-01,1,0,1,0,0
SPANXN1,0.01,-2.31,6.84E-01,9.00E-01,0.01,10.20,5.06E-01,9.44E-01,11.49,0.01,5.16E-01,6.53E-01,0,1,1,0,0
CCDC36,0.01,11.95,4.62E-01,8.05E-01,0.00,0.52,7.50E-01,9.82E-01,11.43,0.01,4.68E-01,6.22E-01,1,0,1,0,0
WBP1,0.00,1.51,8.40E-01,9.54E-01,0.01,11.21,4.12E-01,9.21E-01,9.70,0.01,4.15E-01,5.89E-01,0,1,1,0,0
ARHGEF40,0.01,11.35,4.35E-01,7.91E-01,0.00,9.51,7.96E-01,9.85E-01,1.84,0.01,4.40E-01,6.04E-01,1,0,1,0,0
SCNN1B,0.00,12.06,8.15E-01,9.46E-01,0.01,16.63,4.25E-01,9.25E-01,4.57,0.01,4.29E-01,5.97E-01,0,1,1,0,0
NDUFAF3,0.01,-1.58,4.26E-01,7.88E-01,0.00,4.38,8.12E-01,9.86E-01,5.96,0.01,4.30E-01,5.98E-01,1,0,1,0,0
DEPDC6,0.00,8.37,8.86E-01,9.66E-01,0.01,16.11,3.91E-01,9.15E-01,7.74,0.01,3.93E-01,5.74E-01,0,1,1,0,0
TMOD3,0.00,-1.96,9.09E-01,9.72E-01,0.01,-5.74,3.81E-01,9.14E-01,3.78,0.01,3.83E-01,5.68E-01,0,1,1,0,0
DLG5,0.01,6.46,3.82E-01,7.62E-01,0.00,5.13,9.06E-01,9.95E-01,1.32,0.01,3.84E-01,5.68E-01,1,0,1,0,0
YSK4,0.01,-2.15,6.49E-01,8.86E-01,0.01,-2.87,5.34E-01,9.49E-01,0.72,0.01,5.46E-01,6.73E-01,0,1,1,0,0
C17orf88,0.01,-2.82,6.41E-01,8.84E-01,0.01,8.70,5.40E-01,9.51E-01,11.52,0.01,5.53E-01,6.77E-01,0,1,1,0,0
PPM1D,0.00,14.21,9.89E-01,9.97E-01,0.01,15.77,3.50E-01,9.06E-01,1.56,0.01,3.51E-01,5.48E-01,0,1,1,0,0
MREG,0.00,11.92,8.31E-01,9.50E-01,0.01,13.84,4.17E-01,9.24E-01,1.92,0.01,4.20E-01,5.92E-01,0,1,1,0,0
TMCO2,0.01,15.16,4.07E-01,7.78E-01,0.00,13.96,8.53E-01,9.91E-01,1.19,0.01,4.09E-01,5.86E-01,1,0,1,0,0
ANGPT2,0.01,14.22,5.63E-01,8.51E-01,0.01,-3.72,6.17E-01,9.64E-01,6.05,0.01,5.77E-01,6.93E-01,1,0,1,0,0
ACTR1B,0.01,6.69,5.57E-01,8.49E-01,0.01,9.71,6.23E-01,9.66E-01,3.02,0.01,5.71E-01,6.89E-01,1,0,1,0,0
LOC613266,0.01,11.70,4.93E-01,8.21E-01,0.00,13.44,7.04E-01,9.75E-01,1.74,0.01,5.01E-01,6.44E-01,1,0,1,0,0
C17orf108,0.00,2.99,7.37E-01,9.20E-01,0.01,-0.74,4.71E-01,9.38E-01,3.74,0.01,4.78E-01,6.28E-01,0,1,1,0,0
NUPL2,0.01,0.60,5.75E-01,8.56E-01,0.01,2.51,6.04E-01,9.62E-01,1.91,0.01,5.91E-01,7.02E-01,1,0,1,0,0
C20orf187,0.01,-4.42,4.45E-01,7.96E-01,0.00,-3.01,7.81E-01,9.84E-01,1.41,0.01,4.50E-01,6.10E-01,1,0,1,0,0
C14orf56,0.01,-5.91,5.64E-01,8.51E-01,0.01,4.13,6.16E-01,9.64E-01,10.04,0.01,5.79E-01,6.94E-01,1,0,1,0,0
TTYH1,0.01,-3.18,5.69E-01,8.53E-01,0.01,15.84,6.11E-01,9.63E-01,4.98,0.01,5.84E-01,6.97E-01,1,0,1,0,0
WHSC1L1,0.01,6.96,5.45E-01,8.44E-01,0.01,-1.62,6.38E-01,9.70E-01,8.59,0.01,5.57E-01,6.80E-01,1,0,1,0,0
POTEB,0.00,15.29,8.37E-01,9.53E-01,0.01,0.58,4.15E-01,9.23E-01,9.29,0.01,4.18E-01,5.90E-01,0,1,1,0,0
C20orf173,0.00,12.29,7.37E-01,9.20E-01,0.01,6.88,4.72E-01,9.38E-01,5.41,0.01,4.78E-01,6.29E-01,0,1,1,0,0
NT5C3,0.00,0.90,8.61E-01,9.59E-01,0.01,1.45,4.03E-01,9.19E-01,0.54,0.01,4.06E-01,5.83E-01,0,1,1,0,0
CLDN22,0.01,-3.02,4.01E-01,7.75E-01,0.00,11.93,8.65E-01,9.91E-01,9.05,0.01,4.04E-01,5.81E-01,1,0,1,0,0
NAPRT1,0.01,11.60,5.58E-01,8.49E-01,0.01,9.06,6.24E-01,9.66E-01,2.54,0.01,5.72E-01,6.90E-01,1,0,1,0,0
VSTM2L,0.01,6.13,4.31E-01,7.90E-01,0.00,14.99,8.06E-01,9.86E-01,8.86,0.01,4.35E-01,6.02E-01,1,0,1,1,0
WDR24,0.00,9.22,7.82E-01,9.35E-01,0.01,7.40,4.44E-01,9.30E-01,1.82,0.01,4.49E-01,6.10E-01,0,1,1,0,0
ALB,0.00,-1.67,7.35E-01,9.19E-01,0.01,7.65,4.74E-01,9.39E-01,9.31,0.01,4.80E-01,6.30E-01,0,1,1,0,0
C15orf63,0.01,5.13,4.99E-01,8.23E-01,0.01,1.75,6.98E-01,9.74E-01,3.37,0.01,5.07E-01,6.48E-01,1,0,1,0,0
SCARNA15,0.01,-2.15,5.02E-01,8.25E-01,0.01,-0.21,6.93E-01,9.74E-01,1.94,0.01,5.11E-01,6.50E-01,1,0,1,0,0
PPP1R3A,0.01,16.70,4.42E-01,7.95E-01,0.00,0.53,7.86E-01,9.84E-01,7.83,0.01,4.47E-01,6.09E-01,1,0,1,0,0
MIR145,0.00,9.55,9.06E-01,9.71E-01,0.01,-6.37,3.83E-01,9.14E-01,8.08,0.01,3.85E-01,5.69E-01,0,1,1,0,0
CTRC,0.00,14.33,8.98E-01,9.70E-01,0.01,16.87,3.87E-01,9.15E-01,2.54,0.01,3.89E-01,5.72E-01,0,1,1,0,0
C2orf58,0.00,-6.16,9.16E-01,9.75E-01,0.01,3.63,3.79E-01,9.13E-01,9.79,0.01,3.81E-01,5.66E-01,0,1,1,0,0
POU4F3,0.01,12.20,4.20E-01,7.84E-01,0.00,2.51,8.29E-01,9.87E-01,9.69,0.01,4.23E-01,5.94E-01,1,0,1,0,0
USP18,0.01,13.11,3.65E-01,7.52E-01,0.00,4.00,9.52E-01,9.98E-01,9.12,0.01,3.66E-01,5.57E-01,1,0,1,0,0
NRL,0.01,12.75,3.76E-01,7.59E-01,0.00,-1.67,9.25E-01,9.95E-01,9.58,0.01,3.78E-01,5.64E-01,1,0,1,0,0
C16orf46,0.01,14.71,3.71E-01,7.56E-01,0.00,10.72,9.38E-01,9.98E-01,3.99,0.01,3.72E-01,5.60E-01,1,0,1,0,0
ZNF416,0.01,13.30,5.93E-01,8.64E-01,0.01,-5.79,5.88E-01,9.60E-01,4.92,0.01,6.04E-01,7.11E-01,0,1,1,0,0
C2orf85,0.01,-3.38,4.51E-01,7.98E-01,0.00,10.13,7.72E-01,9.83E-01,10.48,0.01,4.57E-01,6.14E-01,1,0,1,0,0
MLC1,0.01,-0.33,4.42E-01,7.95E-01,0.00,13.67,7.89E-01,9.84E-01,10.00,0.01,4.46E-01,6.08E-01,1,0,1,0,0
OR2W1,0.00,12.46,7.95E-01,9.38E-01,0.01,0.30,4.39E-01,9.29E-01,11.84,0.01,4.43E-01,6.06E-01,0,1,1,0,0
NPC1,0.00,-0.01,8.23E-01,9.47E-01,0.01,13.87,4.24E-01,9.25E-01,10.12,0.01,4.27E-01,5.97E-01,0,1,1,1,0
PPP2R5E,0.01,7.29,3.96E-01,7.72E-01,0.00,12.44,8.81E-01,9.94E-01,5.15,0.01,3.98E-01,5.77E-01,1,0,1,1,0
KRTAP9-8,0.01,12.96,5.60E-01,8.50E-01,0.01,8.17,6.23E-01,9.66E-01,4.78,0.01,5.74E-01,6.91E-01,1,0,1,0,0
CHMP5,0.01,3.17,4.41E-01,7.94E-01,0.00,1.47,7.90E-01,9.84E-01,1.71,0.01,4.46E-01,6.08E-01,1,0,1,0,0
ORAI1,0.00,14.81,7.94E-01,9.38E-01,0.01,15.28,4.39E-01,9.29E-01,0.47,0.01,4.44E-01,6.06E-01,0,1,1,0,0
NHLRC4,0.00,14.89,7.46E-01,9.23E-01,0.01,10.40,4.68E-01,9.38E-01,4.49,0.01,4.74E-01,6.26E-01,0,1,1,0,0
ZNF160,0.01,10.03,6.66E-01,8.92E-01,0.01,-2.44,5.24E-01,9.48E-01,11.53,0.01,5.35E-01,6.66E-01,0,1,1,0,0
ACCSL,0.00,16.21,7.97E-01,9.39E-01,0.01,8.77,4.38E-01,9.29E-01,7.44,0.01,4.42E-01,6.06E-01,0,1,1,0,0
LOC100288884,0.00,12.23,8.11E-01,9.44E-01,0.01,9.39,4.30E-01,9.28E-01,2.83,0.01,4.34E-01,6.01E-01,0,1,1,0,0
DUSP5P,0.01,13.13,3.75E-01,7.59E-01,0.00,15.32,9.30E-01,9.96E-01,2.19,0.01,3.77E-01,5.63E-01,1,0,1,0,0
ASL,0.01,-2.27,4.22E-01,7.86E-01,0.00,8.70,8.27E-01,9.87E-01,10.97,0.01,4.26E-01,5.96E-01,1,0,1,0,0
ZNF304,0.01,4.71,4.15E-01,7.81E-01,0.00,14.37,8.42E-01,9.89E-01,9.65,0.01,4.18E-01,5.90E-01,1,0,1,0,0
WDR62,0.01,12.16,6.03E-01,8.68E-01,0.01,-2.00,5.79E-01,9.59E-01,9.84,0.01,5.95E-01,7.05E-01,0,1,1,0,0
PCBP2,0.00,1.13,7.89E-01,9.37E-01,0.01,16.01,4.43E-01,9.29E-01,9.13,0.01,4.48E-01,6.09E-01,0,1,1,0,0
DDX11,0.00,-1.00,9.46E-01,9.84E-01,0.01,1.68,3.69E-01,9.10E-01,2.68,0.01,3.71E-01,5.59E-01,0,1,1,0,0
TCAP,0.01,12.40,4.72E-01,8.10E-01,0.00,-0.77,7.40E-01,9.80E-01,10.83,0.01,4.79E-01,6.29E-01,1,0,1,1,0
SETMAR,0.01,-0.22,3.86E-01,7.66E-01,0.00,7.63,9.07E-01,9.95E-01,7.85,0.01,3.88E-01,5.71E-01,1,0,1,0,0
ZDHHC11,0.00,-3.42,9.97E-01,9.99E-01,0.01,3.38,3.51E-01,9.06E-01,6.80,0.01,3.51E-01,5.48E-01,0,1,1,0,0
CPA2,0.01,12.58,4.58E-01,8.03E-01,0.00,14.86,7.64E-01,9.82E-01,2.28,0.01,4.64E-01,6.19E-01,1,0,1,0,0
CEP78,0.00,2.68,8.16E-01,9.46E-01,0.01,15.60,4.29E-01,9.27E-01,11.08,0.01,4.32E-01,6.00E-01,0,1,1,0,0
SIGLEC11,0.00,4.48,9.76E-01,9.94E-01,0.01,12.21,3.58E-01,9.08E-01,7.73,0.01,3.59E-01,5.52E-01,0,1,1,0,0
LACE1,0.00,-4.11,7.49E-01,9.24E-01,0.01,-4.07,4.67E-01,9.38E-01,0.04,0.01,4.74E-01,6.26E-01,0,1,1,0,0
KRTAP13-4,0.01,12.89,6.43E-01,8.84E-01,0.01,10.19,5.44E-01,9.52E-01,2.71,0.01,5.57E-01,6.79E-01,0,1,1,0,0
STAT5B,0.01,15.09,4.44E-01,7.95E-01,0.00,12.55,7.89E-01,9.84E-01,2.54,0.01,4.49E-01,6.09E-01,1,0,1,0,0
YES1,0.00,-1.08,7.48E-01,9.24E-01,0.01,-4.37,4.68E-01,9.38E-01,3.29,0.01,4.74E-01,6.26E-01,0,1,1,0,0
NEK11,0.01,7.72,3.70E-01,7.55E-01,0.00,14.43,9.48E-01,9.98E-01,6.71,0.01,3.71E-01,5.60E-01,1,0,1,1,0
DNTTIP1,0.01,0.29,5.67E-01,8.53E-01,0.01,9.54,6.18E-01,9.64E-01,9.24,0.01,5.82E-01,6.96E-01,1,0,1,0,0
TTC30A,0.00,0.96,7.33E-01,9.18E-01,0.01,15.21,4.78E-01,9.39E-01,9.75,0.01,4.85E-01,6.33E-01,0,1,1,0,0
NRXN1,0.01,0.91,5.89E-01,8.62E-01,0.01,-3.10,5.95E-01,9.61E-01,4.02,0.01,6.06E-01,7.12E-01,1,0,1,1,0
NDRG4,0.01,5.19,6.41E-01,8.83E-01,0.01,8.69,5.47E-01,9.52E-01,3.50,0.01,5.60E-01,6.82E-01,0,1,1,1,0
PHF1,0.00,12.24,8.94E-01,9.69E-01,0.01,11.22,3.92E-01,9.15E-01,1.03,0.01,3.95E-01,5.75E-01,0,1,1,0,0
CELA2B,0.01,10.99,6.91E-01,9.03E-01,0.01,12.29,5.07E-01,9.45E-01,1.30,0.01,5.17E-01,6.54E-01,0,1,1,0,0
VCP,0.00,0.75,8.11E-01,9.44E-01,0.01,-4.75,4.32E-01,9.28E-01,5.50,0.01,4.36E-01,6.02E-01,0,1,1,0,0
IAPP,0.01,-4.90,6.33E-01,8.81E-01,0.01,11.76,5.54E-01,9.54E-01,7.34,0.01,5.67E-01,6.87E-01,0,1,1,0,0
ZNF7,0.00,2.43,8.28E-01,9.49E-01,0.01,-5.32,4.24E-01,9.25E-01,7.76,0.01,4.28E-01,5.97E-01,0,1,1,0,0
CHCHD7,0.00,5.24,7.72E-01,9.32E-01,0.01,2.53,4.55E-01,9.32E-01,2.72,0.01,4.60E-01,6.16E-01,0,1,1,0,0
PARK2,0.01,2.54,3.93E-01,7.70E-01,0.00,1.70,8.93E-01,9.95E-01,0.84,0.01,3.95E-01,5.75E-01,1,0,1,1,0
IL24,0.01,12.04,5.42E-01,8.43E-01,0.01,1.78,6.48E-01,9.70E-01,10.26,0.01,5.55E-01,6.78E-01,1,0,1,0,0
LHFPL1,0.01,15.17,5.07E-01,8.28E-01,0.01,10.91,6.94E-01,9.74E-01,4.26,0.01,5.16E-01,6.54E-01,1,0,1,0,0
IFRD2,0.01,10.38,5.89E-01,8.62E-01,0.01,11.31,5.97E-01,9.61E-01,0.93,0.01,6.06E-01,7.12E-01,1,0,1,0,0
MMP24,0.01,17.41,6.15E-01,8.73E-01,0.01,12.40,5.71E-01,9.57E-01,5.01,0.01,5.87E-01,7.00E-01,0,1,1,0,0
FOXB1,0.01,10.55,5.04E-01,8.26E-01,0.01,11.63,6.98E-01,9.74E-01,1.08,0.01,5.13E-01,6.52E-01,1,0,1,0,0
USMG5,0.01,4.95,4.50E-01,7.98E-01,0.00,3.64,7.82E-01,9.84E-01,1.31,0.01,4.55E-01,6.13E-01,1,0,1,0,0
PSG3,0.00,4.80,7.42E-01,9.21E-01,0.01,2.76,4.74E-01,9.39E-01,2.04,0.01,4.81E-01,6.31E-01,0,1,1,0,0
MLLT11,0.01,4.07,5.88E-01,8.61E-01,0.01,4.55,5.99E-01,9.62E-01,0.49,0.01,6.05E-01,7.12E-01,1,0,1,0,0
TFF3,0.00,12.19,7.25E-01,9.15E-01,0.01,-1.73,4.86E-01,9.40E-01,10.08,0.01,4.94E-01,6.39E-01,0,1,1,0,0
TTPA,0.01,1.46,4.96E-01,8.22E-01,0.00,4.19,7.11E-01,9.76E-01,2.73,0.01,5.04E-01,6.46E-01,1,0,1,0,0
B3GNT1,0.00,3.96,7.02E-01,9.06E-01,0.01,7.92,5.03E-01,9.43E-01,3.95,0.01,5.12E-01,6.51E-01,0,1,1,0,0
SHARPIN,0.00,15.18,7.80E-01,9.35E-01,0.01,8.55,4.52E-01,9.31E-01,6.63,0.01,4.57E-01,6.14E-01,0,1,1,0,0
INS-IGF2,0.01,15.23,4.29E-01,7.89E-01,0.00,1.71,8.22E-01,9.87E-01,10.48,0.01,4.33E-01,6.00E-01,1,0,1,0,0
TRIB1,0.01,13.16,6.96E-01,9.05E-01,0.01,12.84,5.07E-01,9.45E-01,0.32,0.01,5.17E-01,6.54E-01,0,1,1,1,0
MYO10,0.01,-2.80,6.69E-01,8.94E-01,0.01,15.88,5.28E-01,9.48E-01,5.32,0.01,5.39E-01,6.68E-01,0,1,1,0,0
KIAA1143,0.01,-1.88,4.68E-01,8.09E-01,0.00,-3.20,7.54E-01,9.82E-01,1.32,0.01,4.75E-01,6.26E-01,1,0,1,0,0
BTAF1,0.01,7.20,5.50E-01,8.46E-01,0.01,-2.18,6.42E-01,9.70E-01,9.38,0.01,5.63E-01,6.84E-01,1,0,1,0,0
PSMB7,0.00,0.79,8.73E-01,9.64E-01,0.01,-0.53,4.04E-01,9.19E-01,1.33,0.01,4.06E-01,5.84E-01,0,1,1,1,0
